Run ID,Config ID,Board Size,Population,Generations,Games per Eval,Co-evolution,Co-evolution Opponents,Result File,Date,Best Strategy,Training Fitness,Test Wins,Test Total,Test Win Rate
20251213_034131,Config_1,6x6,100,10,10,False,,evolution_20251213_034131.txt,2025-12-13 03:41:31,x[32],0.3,2,10,0.2000
20251213_055102,Config_3,6x6,200,100,20,False,,evolution_20251213_055102.txt,2025-12-13 05:51:02,x[8],0.275,3,10,0.3000
20251213_083718,Config_3,6x6,200,100,20,False,,evolution_20251213_083718.txt,2025-12-13 08:37:18,"if_(greater_than_or_equal(x[0], x[25]), x[19], x[20])",0.325,3,10,0.3000
20251214_220441,Config_2,6x6,150,30,15,True,5,evolution_20251214_220441.txt,2025-12-14 22:04:41,x[32],0.2,6,20,0.3000
20251215_032724,Config_4,6x6,300,50,25,True,5,evolution_20251215_032724.txt,2025-12-15 03:27:24,"min_(x[45], 2.0)",,13,20,0.6500
20251215_090842,Config_4,6x6,300,50,25,True,5,evolution_20251215_090842.txt,2025-12-15 09:08:42,"max_(if_(less_than_or_equal(x[6], 0.1), 2.0, x[20]), neg(5.0))",,,20,0.0000
20251215_202804,Config_4,6x6,300,50,25,True,5,evolution_20251215_202804.txt,2025-12-15 20:28:04,x[20],0.23,5,20,0.2500
20251216_034713,Config_4,6x6,300,50,25,True,5,evolution_20251216_034713.txt,2025-12-16 03:47:13,"add(x[20], mul(x[45], x[40]))",0.18,15,20,0.7500
8x8_20251216_222007,Config_5,8x8,300,50,20,True,5,evolution_8x8_20251216_222007.txt,2025-12-16 22:20:07,"mul(x[33], x[21])",0.15,2,20,0.1000
8x8_20251218_002100,Config_6,8x8,400,75,20,True,5,evolution_8x8_20251218_002100.txt,2025-12-18 00:21:00,"add(x[35], x[26])",0.175,16,20,0.8000
8x8_20260216_052949,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260216_052949.txt,2026-02-16 05:29:49,"sub(add(if_(less_than_or_equal(5.0, 2.0), -0.1, add(x[19], 0.0)), x[11]), -0.5)",0.125,15,20,0.7500
8x8_20260218_003143,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260218_003143.txt,2026-02-18 00:31:43,"add(if_(greater_than_or_equal(mul(x[49], 10.0), x[57]), x[39], 0.5), x[19])",0.075,17,20,0.8500
8x8_20260219_203646,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260219_203646.txt,2026-02-19 20:36:46,"mul(x[73], x[24])",0.05,18,20,0.9000
8x8_20260223_045614,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260223_045614.txt,2026-02-23 04:56:14,"mul(add(abs_(10.0), x[26]), x[23])",0.075,114,150,0.7600
8x8_20260225_114105,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260225_114105.txt,2026-02-25 11:41:05,1.0,0.1,104,150,0.6933
8x8_20260227_011809,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260227_011809.txt,2026-02-27 01:18:09,"add(if_(greater_than_or_equal(x[35], x[64]), x[44], x[44]), x[37])",0.1,100,150,0.6667
8x8_20260302_115155,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260302_115155.txt,2026-03-02 11:51:55,"add(x[24], x[68])",0.075,108,150,0.7200
8x8_20260307_093010,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260307_093010.txt,2026-03-07 09:30:10,"sub(x[53], neg(x[70]))",0.05,110,150,0.7333
8x8_20260309_155326,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260309_155326.txt,2026-03-09 15:53:26,"add(x[68], sub(x[24], x[46]))",0.05,122,150,0.8133
8x8_20260311_043951,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260311_043951.txt,2026-03-11 04:39:51,"add(add(x[40], x[39]), x[19])",0.05,117,150,0.7800
8x8_20260312_214315,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260312_214315.txt,2026-03-12 21:43:15,"sub(x[70], x[46])",0.075,105,150,0.7000
8x8_20260316_010459,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260316_010459.txt,2026-03-16 01:04:59,"mul(x[72], x[39])",0.025,95,150,0.6333
8x8_20260318_051106,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260318_051106.txt,2026-03-18 05:11:06,"add(x[19], min_(x[54], if_(greater_than_or_equal(-10.0, add(abs_(x[68]), x[21])), 0.5, x[24])))",0.1,117,150,0.7800
8x8_20260320_104123,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260320_104123.txt,2026-03-20 10:41:23,"sub(x[19], sub(x[35], x[24]))",0.075,122,150,0.8133
8x8_20260322_094426,Config_6,8x8,400,75,20,True,5,evolution_8x8_20260322_094426.txt,2026-03-22 09:44:26,"sub(if_(greater_than_or_equal(x[21], max_(-1.0, 0.1)), -0.1, -2.0), x[15])",0.1,103,150,0.6867
